AreaName,Price,lat,lng,Count
Blair Road,602433.3333333334,43.36797333333334,-80.32558433333334,3
Westdale South,601360.0,43.2596098,-79.9093718,5
Burford,599900.0,43.103279,-80.429138,1
Crystal Bay - Lakeview Park - Britannia Village,599592.8571428572,45.35394907142857,-75.81948921428571,14
Bethany,599107.0,44.18904235714286,-78.57769492857143,14
Caledonia - Fairbank,599000.0,43.682915,-79.457314,1
Windham Centre,599000.0,42.909874,-80.455269,1
Merivale Gardens - Grenfell Glen - Pineglen - Country Place,598249.6666666666,45.32303366666667,-75.70971783333333,6
Lambton Baby Point,598222.2222222222,43.64814744444445,-79.48664711111111,9
Hunt Club - Ottawa Airport,597950.0,45.34388025,-75.673570625,8
Kortright Hills,595293.8571428572,43.499426142857146,-80.23266707142857,14
Silverthorn,594540.6896551724,43.68545079310345,-79.46844410344828,29
White Lake,594033.3333333334,45.31391833333333,-76.47075249999999,6
Davisville,594000.0,43.70559699999999,-79.397453,3
Richmond,592791.6666666666,45.18435845833333,-75.83612979166666,24
Rockcliffe - Smythe,590367.5,43.67292232142857,-79.49602942857143,28
Spring Valley,589925.0,43.674381499999996,-79.81274400000001,4
Wallace Emerson,588471.7222222222,43.66318094444445,-79.44152405555556,18
Whitby,588236.6842105263,43.89694140789474,-78.93831280263159,76
Humber Heights - Westmount,586927.1666666666,43.69009433333333,-79.52126375,12
Sherwood Park,586795.0,43.7107284,-79.3946778,5
West Hill,582273.0,43.76777004545455,-79.18782056818182,44
Westmeath,579900.0,45.819763,-76.890236,1
Little Italy,578988.8888888889,43.65403444444444,-79.41509422222222,9
Norwich,578427.8181818182,42.98980054545455,-80.59931036363636,11
Bowmanville,578229.65,43.912980625,-78.69718652499999,40
Sunningdale,577621.4047619047,43.03007435714286,-81.29730259523811,42
Brooklin,575614.2857142857,43.96051071428571,-78.95085442857143,7
Bedford Park,575000.0,43.725037,-79.415611,1
Kennedy Park,574876.1904761905,43.72546057142857,-79.25822276190476,21
Rouge,574807.6052631579,43.80760518421052,-79.18553281578947,38
Fergus,574646.0,43.707163599999994,-80.37057506666666,15
Ainslie Wood North,573190.0,43.2583778,-79.9270752,5
London,571932.5813953489,42.99783869767442,-81.2595168372093,43
Eatonville,569457.8333333334,43.641786208333336,-79.55465120833334,24
Lambeth,569352.9411764706,42.9083235882353,-81.29328764705882,17
Burlington,567692.3019480519,43.371611275974026,-79.80499211688311,308
Pape Village,566299.6666666666,43.68953933333333,-79.34389266666666,3
Hannon West,565000.0,43.190598,-79.844498,3
Barnstown,564900.0,43.19929233333334,-79.87691233333334,3
Southwood Lakes,562933.3333333334,42.24131933333334,-82.98342366666667,3
Churchville,562712.0588235294,43.648511176470585,-79.74238723529412,17
Mississippi Mills,560000.0,45.231388,-76.19384,1
Kedron,560000.0,43.952606,-78.878952,1
Parkdale,558265.32,43.63637612,-79.4387926,25
Ionview,557776.5625,43.7357154375,-79.273105125,16
Old Malton Village,557740.0,43.7034022,-79.647351,5
Ainslie Wood East,555906.8333333334,43.25317472222222,-79.92158966666666,18
The Junction,554700.0,43.66672425,-79.467371,4
Dufferin Grove,553282.5,43.65705558333334,-79.42842925000001,12
Waverley,552252.1363636364,43.56718118181818,-80.26284477272726,22
Newcastle,552045.3636363636,43.914682272727276,-78.57406881818181,11
Centretown,551533.8611111111,45.414496763888884,-75.69527958333333,72
King West Village,551425.0,43.64079025,-79.4145355,4
Greely,550672.4166666666,45.251201395833334,-75.57170827083333,48
Fashion District,549963.3333333334,43.64330266666667,-79.39943966666667,3
Oshawa,549333.3333333334,43.912127166666664,-78.88049083333334,6
Briar Hill,549000.0,43.702183,-79.444046,1
Two Rivers,548134.0,43.550715833333335,-80.232128,6
Bridgeport West,547948.3333333334,43.48109433333334,-80.48559066666667,6
Mount Pleasant,546300.0,43.05703066666666,-80.270302,3
Orangeville,546288.7272727273,43.91933445454546,-80.09702718181819,11
White Haven,545930.0,43.7897477,-79.24902560000001,10
Hunt Club Woods - Quintarra - Revelstoke - Riverside South P,545189.4736842106,45.350051578947365,-75.68888678947368,19
Exhibition Park,544260.0,43.54972393333333,-80.263492,15
Northglen,542640.0,43.91473442857143,-78.89733757142858,7
Brookhaven - Amesbury,542060.0,43.6997763,-79.4918319,10
Cliffcrest,541269.2307692308,43.72779661538462,-79.23417907692307,13
Alliston,540006.1875,44.13832075,-79.8262858125,16
Gore Bay,539966.6666666666,45.88813533333334,-82.45202633333334,3
Lawrence Park South,539900.0,43.707275,-79.399559,1
Entertainment District,539352.9411764706,43.64415288235294,-79.38554788235294,17
Roches Point,539000.0,44.200993,-79.460571,1
Pleasant View,535573.5,43.785310875,-79.336835875,8
Guelph,535500.051724138,43.5341810862069,-80.22691100862069,116
Alta Vista,533910.7142857143,45.384408,-75.66545382142856,28
Hamilton,533772.4864864865,43.213311229729726,-79.84756672972973,74
Thornhill,531665.3181818182,43.81776606818182,-79.42386854545454,44
Ainslie Wood,529900.0,43.256733,-79.931641,2
Stevenson,529900.0,43.871849,-78.876213,1
Industrial Sector C,528844.75,43.261329375,-79.826699375,8
Falkirk West,526266.6666666666,43.213695666666666,-79.921463,3
Humber Summit,524295.65625,43.7557645,-79.5633940625,32
Kirkendall South,524172.0,43.249195,-79.8895875,2
Milliken,523748.96,43.81571342666667,-79.29410576,75
Civic Centre,523087.5,43.4557915,-80.48620724999999,8
Carlington,521740.0,45.3773486,-75.7341079,10
Humber Bay Shores,521294.1111111111,43.62753933333333,-79.47814383333333,18
Stoney Creek,519160.3706293706,43.16843647552447,-80.13114994405593,143
Downtown,519055.07320099254,43.652263465260546,-79.38384616625311,806
Earlscourt,517011.5,43.67830850000001,-79.45419595833333,24
Thornbury,516329.4117647059,44.56490094117647,-80.47285464705882,17
Victoria Village,516170.5882352941,43.72911776470588,-79.32021552941175,17
Mimico,515010.1216216216,43.62312101351351,-79.48464222972973,148
Westmount,514961.73333333334,43.09811618333333,-80.99952311666667,60
Markdale,513980.0,44.36211295,-80.62541615,20
Chappel East,512450.0,43.194971,-79.8731995,2
Emsdale,512000.0,45.474823,-79.226589,2
LeBreton Flats,511985.71428571426,45.41618028571428,-75.71213457142858,7
Islington,511800.0,43.647003000000005,-79.53099316666668,6
Bala,510300.0,45.02693166666666,-79.64941166666667,3
Trinity - Bellwoods,510211.70588235295,43.65041758823529,-79.41546688235293,17
McLaughlin,509608.3333333333,43.90115466666666,-78.89304983333334,12
Mount Hope,509493.75,43.15764875,-79.9097526875,16
Hamilton Beach B,508233.3333333333,43.280351499999995,-79.78453716666667,6
Silverstone,508216.5,43.74307116666666,-79.5992495,6
Kennedy East,507825.5,43.20284925,-79.90013525,4
Gurnett,507424.25,43.22379675,-79.92098425,4
Northwood,506666.6666666667,43.92926133333333,-78.909536,3
Westvale,506083.3333333333,43.444841999999994,-80.558955,6
Bridgeburg,505799.25,42.9314501875,-78.9240823125,16
Essa,505400.0,44.344917,-79.82074,4
Woodbine Gardens,505214.28571428574,43.700646,-79.29863085714285,7
Eringate - Centennial - West Deane,504584.85714285716,43.65202571428572,-79.57863135714285,14
Crestview - Meadowlands,503672.7272727273,45.349154636363636,-75.7417195909091,22
Overbrook,503281.8181818182,45.42396027272727,-75.65598772727273,11
Willowdale,503173.5880398671,43.76751691694352,-79.41085662458471,301
Ayr,502866.6666666667,43.30694966666667,-80.46059966666667,3
Kerr Village,501872.21428571426,43.44343428571428,-79.68011035714287,14
Lansdowne,501514.28571428574,44.40335685714285,-76.02146914285716,7
Clairfields,501250.0,43.49881588888889,-80.19782433333333,9
Belle River,501114.28571428574,42.25366485714286,-82.76051671428571,7
Westboro Beach,500000.0,45.398041,-75.749512,1
Wiarton,499950.0,44.719702749999996,-81.08256175,4
Templemead,499950.0,43.194765000000004,-79.84879699999999,2
Northward,499900.0,43.4670215,-80.48107949999999,2
Greenock,499900.0,44.099903,-81.259933,1
Waterdown,499768.3043478261,43.33450234782608,-79.90064530434783,46
Collingwood,498697.875,44.49552072115385,-80.21935265384614,104
Falkirk East,498185.28571428574,43.21479471428571,-79.91475371428571,7
Old East York,495580.85294117645,43.69298117647059,-79.31403255882353,34
Cliffside,493540.0,43.7068576,-79.2515488,5
Scarborough Junction,492132.3333333333,43.718980666666674,-79.265025,12
Navan - Vars,491395.45454545453,45.37204709090909,-75.35043536363636,11
Eleanor,491144.25,43.19923125,-79.85649699999999,4
Sarsfield,489925.0,45.447436249999996,-75.34308625,4
Torwood Estates,489900.0,45.481136,-76.031372,1
Swansea,489712.16279069765,43.63811646511628,-79.47124672093024,43
Harwood,488499.0,43.831936500000005,-79.02675691666667,12
Barrie,487621.703125,44.37999359375,-79.683700265625,128
Carpenter,487266.6666666667,43.20587166666667,-79.91809833333333,3
Brockton Village,487175.0,43.651377875,-79.436616875,8
Samac,486379.2,43.939764999999994,-78.87613633333333,15
North London,485630.2727272727,43.0054266969697,-81.24960303030302,33
Elmira,484933.3333333333,43.590694500000005,-80.56630200000001,6
Civic Hospital - Experimental Farm - Central Park,483975.0,45.374366800000004,-75.73164625000001,20
York University Heights,483229.9761904762,43.7638459047619,-79.48616207142857,42
Cobourg,483186.95652173914,44.00283352173913,-78.17962226086956,23
Steeles,481273.5,43.81448975,-79.324505625,24
Centretown West,480813.63636363635,45.40522763636364,-75.70960331818182,22
Downsview,480738.09523809527,43.7302429047619,-79.49347434920635,63
Sheffield,479900.0,43.325317,-80.209236,1
Gananoque,479466.6666666667,44.33803066666667,-76.13389083333334,6
Port Rowan,479000.0,42.585735,-80.399513,1
Mount Dennis,478420.3333333333,43.689564888888896,-79.49967455555556,18
Bailieboro,477720.0,44.113220999999996,-78.3158354,5
Gourley,476725.45454545453,43.21815890909091,-79.900376,11
Victoria Park,474900.0,43.44817,-80.496407,1
Carleton Place,474541.17647058825,45.10827970588235,-76.16029276470589,17
Port Hope,474536.1111111111,43.97032288888889,-78.32222655555556,18
Carp,474478.8541666667,45.30135983333333,-76.03373252083334,48
Glendale,474450.0,43.154939999999996,-79.1674765,2
Letitia Heights,474450.0,44.3915655,-79.7175025,2
Navan,474330.0,45.4208191,-75.4466445,10
Church and Wellesley,472075.0,43.66765025,-79.38265625,4
Parkwood Gardens,472057.14285714284,43.520034,-80.27848057142857,7
Keene,471960.0,44.2425218,-78.0800858,5
Flesherton,471360.0,44.2971344,-80.5062698,5
Metcalfe,470100.0,45.25167,-75.47584426666667,15
Limoges,469670.0,45.3362922,-75.2494951,10
Brock,469580.0,44.342411600000005,-79.09763619999998,5
Tam O'Shanter - Sullivan,469507.5,43.77541816666667,-79.31163149999999,6
Sparta,469000.0,42.673565,-81.12133,1
Streetsville,468465.86666666664,43.5897176,-79.72165799999999,15
Grimsby,468209.28571428574,43.098600999999995,-79.56693914285714,7
Keswick,466943.1111111111,44.232018333333336,-79.4688898888889,9
Greenford,466700.25,43.22379475,-79.769932,4
Oakridge,465697.56451612903,43.10013043548387,-80.95288962903226,62
Quyon,465000.0,45.561546,-76.124374,1
Bayview Glen,464936.53125,43.8471723125,-79.427263375,32
Harbord Village,464633.3333333333,43.662532999999996,-79.40725200000001,3
Clarence-Rockland,463266.6666666667,45.461866500000006,-75.25001033333334,6
Christopher-Champlain,461668.75,43.35172825,-80.302387,8
Cityview - Skyline - Fisher Heights,460700.0,45.36240225,-75.725708,4
Bendale,460665.9625,43.766013725,-79.2564937,80
Little Portugal,459815.4761904762,43.64315004761905,-79.42497357142857,42
Elmvale,459799.03125,44.58747471875,-79.8979788125,32
Cooksville,459086.9846153846,43.57793206153846,-79.6201918,65
Holland Marsh,459000.0,44.082485,-79.540977,1
O'Connor - Parkview,459000.0,43.70508833333333,-79.30253066666667,3
Kitchener,456650.0,43.44065835714286,-80.48367971428571,14
Munster Hamlet - Richmond,454895.71428571426,45.18147082142857,-75.83798628571428,28
Hillsburgh,454450.0,43.794981,-80.145264,2
Brigadoon,453675.0,43.38838275,-80.45511825,4
Tam O'Shanter,453432.5,43.784300433333335,-79.29639223333334,30
Waterloo,452554.178021978,43.476493852747254,-80.53436422857143,455
Kawartha Lakes,452415.7368421053,44.40853221052632,-78.59466268421052,19
Centennial,452041.6666666667,43.92651716666666,-78.87079041666667,12
Glanworth,451825.0,42.890961125000004,-81.164276125,8
York Mills,450968.1666666667,43.748633833333336,-79.40656750000001,6
Scarborough Village,450123.7619047619,43.74442147619048,-79.21252638095238,21
Newton,449000.0,43.581146,-80.832382,1
Fonthill,447783.3333333333,43.05303766666666,-79.27028266666666,6
Portland,446500.0,44.666916,-76.360439,2
The Blue Mountains,446103.5595238095,44.51535427380953,-80.35677397619048,84
Liberty Village,445600.0,43.638538277777776,-79.41410805555556,18
Greenbelt,444811.64285714284,45.32581104761905,-75.64577102380952,42
The Kingsway,443866.6666666667,43.65631044444444,-79.50683433333333,9
River Bend,443609.25925925927,42.9689135925926,-81.35718474074073,27
Silvertown,443542.85714285716,43.113332,-79.06960071428571,7
Mississauga,442596.75664335664,43.596313134265735,-79.65353027692308,715
Colborne,440825.0,44.005491750000004,-77.90147775,8
Roslin,439900.0,44.310501,-77.40937,1
Kentley,439900.0,43.2346,-79.766579,1
West Willow Woods,439247.0,43.53205583333334,-80.29398033333334,12
New Hamburg,439000.0,43.385406,-80.72197,1
Gads Hill,439000.0,43.426727,-80.755722,1
Carlingwood West - Glabar Park - McKellar Heights,438560.0,45.37128705,-75.7704611,20
Eastdale,438505.2631578947,43.914825263157894,-78.83231994736842,19
Prince Edward,437514.28571428574,44.006530285714284,-77.26358128571428,7
Port Elgin,437474.71794871794,44.44039846153846,-81.39521828205127,39
Yarker,437400.0,44.347994,-77.09734750000001,2
Etobicoke West Mall,436963.63636363635,43.64822581818182,-79.56951627272727,11
Ilderton,436573.63157894736,43.084456315789474,-81.36816531578948,19
